,first_loan_local_disbursement_month,months_since_first_loan_disbursed,count_borrowers,count_loans,total_amount,total_interest_assessed,total_rollover_charged,total_rollover_reversed,default_rate_amount_7d,default_rate_amount_30d,default_rate_amount_51d,default_rate_amount_365d
1854,2020-04,13,19,22,84500.0,12620.0,139.0,0.0,0.017871815940838125,0.019271992533256753,0.019271992533256753,0.049657760511641426
1855,2020-04,12,19,22,74500.0,11500.0,0.0,0.0,,,,
1856,2020-04,15,18,24,103500.0,14940.0,0.0,0.0,,,,
1857,2020-04,17,17,20,93000.0,14100.0,872.0,0.0,0.10150866083069474,0.10874625872963087,0.10874625872963087,
1858,2020-04,5,16,17,38000.0,5880.0,557.0,0.0,0.15854214123006835,0.12681917358346267,0.12681917358346267,0.059258260889098545
1859,2020-04,24,10,10,64500.0,12632.0,0.0,0.0,,,,
1860,2020-04,20,10,10,80000.0,20665.0,3109.0,0.0,0.3859788491137481,0.3609511335400736,0.3609511335400736,
1861,2020-04,23,8,8,41000.0,7267.0,270.0,0.0,0.1116002232004464,0.11652999568407424,0.18,
1862,2020-04,25,8,9,58500.0,11524.0,0.0,0.0,,,,
1863,2020-04,19,8,9,54500.0,10670.0,0.0,0.0,,,,
1864,2020-04,22,7,7,47500.0,11722.0,0.0,0.0,,,,
1865,2020-04,21,6,7,30500.0,6435.0,412.0,0.0,0.13932766302146618,0.1487969663791492,0.1487969663791492,
1866,2020-04,26,4,4,14500.0,3610.0,0.0,0.0,,,,
1867,2020-05,0,466,626,756000.0,112245.0,23413.0,0.0,0.3483278312042486,0.3420229277369259,0.33992181489631973,0.3239908408690441
1868,2020-05,1,128,144,239000.0,35560.0,4284.0,0.0,0.19505826656955572,0.18286814589578462,0.17836244729369247,0.16880225437753654
1869,2020-05,3,106,128,320000.0,47860.0,4575.0,0.0,0.1520960034752389,0.1176871204300787,0.10996769047204086,0.10324284469468463
1870,2020-05,2,102,120,240500.0,36350.0,3511.0,139.0,0.16542039545824344,0.1469703480876665,0.13889616764667861,0.12970047620544964
1871,2020-05,6,91,102,324500.0,48140.0,2724.0,0.0,0.09120137177151431,0.08378454566729783,0.08245045792513642,0.0811165120830497
1872,2020-05,7,82,93,309000.0,46140.0,3150.0,93.0,0.11060554993820919,0.09092553931802366,0.09092553931802366,0.08046485734168407
1873,2020-05,8,80,91,318500.0,48100.0,1346.0,0.0,0.045736349793343484,0.04242683673524678,0.039030033105226944,0.039030033105226944
1874,2020-05,9,79,87,308500.0,46080.0,4471.0,371.0,0.15724331926863572,0.13699931394796558,0.11162927636786832,0.10814301307314797
1875,2020-05,4,69,77,194000.0,28060.0,1846.0,0.0,0.09848893685914732,0.07462786404216798,0.06344697814202777,0.06344697814202777
1876,2020-05,10,67,70,267500.0,40840.0,2121.0,0.0,0.08573277256551277,0.0839060406565973,0.0839060406565973,0.08293682793539826
1877,2020-05,5,67,75,233500.0,34800.0,1553.0,0.0,0.07229005360333532,0.06248404036815401,0.05803880355100968,0.05803880355100968
1878,2020-05,11,67,72,289500.0,44300.0,3606.0,0.0,0.13476831091180866,0.13714414153303797,0.1297032161927232,0.1152370650162851
1879,2020-05,12,66,76,318500.0,49000.0,3648.0,209.0,0.12374463927039792,0.09300294522314903,0.09300294522314903,0.07699851454448435
1880,2020-05,13,63,70,305500.0,47060.0,691.0,0.0,0.024450984831333483,0.003538838255604102,0.003538838255604102,
1881,2020-05,14,62,70,342000.0,53000.0,2548.0,0.0,0.08043807791420343,0.07423165356386237,0.07423165356386237,
1882,2020-05,15,58,63,321000.0,49050.0,2533.0,0.0,0.08532671718669939,0.08617083106788835,0.08617083106788835,
1883,2020-05,16,54,64,329500.0,50440.0,4310.0,0.0,0.15684625492772666,0.1302050042871619,0.1302050042871619,
1884,2020-05,17,45,50,263000.0,42240.0,1614.0,0.0,0.06596677132391418,0.04233654528064959,0.03643532404666324,
1885,2020-05,21,38,42,250000.0,43331.0,606.0,14.0,0.03300447881489946,0.002229408511114806,0.0023695229576839987,
1886,2020-05,23,38,42,273500.0,45096.0,1216.0,0.0,0.0874031007751938,0.028255929014929917,,
1887,2020-05,20,38,41,238000.0,39010.0,1475.0,0.0,0.0664781528042938,0.07141193543185768,0.031011195700850872,
1888,2020-05,19,37,45,219500.0,35895.0,1600.0,0.0,0.07814727304680635,0.08387184413265801,0.08387184413265801,
1889,2020-05,18,37,42,219000.0,36120.0,1348.0,0.0,0.06586252736940883,0.042527457141968206,0.042527457141968206,
1890,2020-05,22,35,41,254000.0,41656.0,1580.0,0.0,0.10682652840786347,0.07207525841473267,0.051768682844380055,
1891,2020-05,24,34,38,286000.0,48337.0,404.0,0.0,0.07827287827867269,,,
1892,2020-05,25,21,21,150000.0,23975.0,0.0,0.0,,,,
1893,2020-06,0,1193,1541,1854500.0,271030.0,58677.0,455.0,0.3463946451322791,0.3355777239144299,0.32357383127808953,0.3131899915077968
1894,2020-06,1,402,480,811000.0,121405.0,15445.0,232.0,0.20770860358159673,0.19600227967462827,0.187257411072313,0.17737543903272932
1895,2020-06,2,305,350,726500.0,109890.0,14336.0,0.0,0.20987479402211703,0.1882737803921385,0.18791812725820917,0.1818381907029781
1896,2020-06,5,231,250,694000.0,105680.0,7946.0,0.0,0.1239546668663721,0.11032115078619927,0.10722262577147912,0.10118291736872533
1897,2020-06,6,216,237,719000.0,110620.0,7824.0,0.0,0.12243622111616052,0.1159535242668496,0.11063898707163476,0.10108675977440744
1898,2020-06,3,198,231,545500.0,82310.0,7423.0,186.0,0.1475203917765093,0.12316143254670955,0.11725507633953614,0.10445690547753007
1899,2020-06,4,194,221,556000.0,84520.0,9457.0,0.0,0.18069021417214826,0.14810229819207252,0.14172363637480667,0.1406592461413934
1900,2020-06,7,191,214,704500.0,108450.0,8786.0,291.0,0.13549630029573093,0.10867190382785341,0.099561099000335,0.09467118805344105
1901,2020-06,9,161,181,638500.0,97930.0,5050.0,93.0,0.08632012240531867,0.06688226118760757,0.06397606561785667,0.06370542677351691
1902,2020-06,8,161,172,621000.0,96240.0,7733.0,0.0,0.13841917899655135,0.08934670090628623,0.08934670090628623,0.08520974399390416
1903,2020-06,10,150,167,648500.0,99200.0,6895.0,0.0,0.11501921434671221,0.08190477449548197,0.07363425451613116,0.07231038699229982
1904,2020-06,11,141,157,667000.0,102660.0,6519.0,0.0,0.10561098872618893,0.08089405773062894,0.08089405773062894,0.0782157937362888
1905,2020-06,12,136,150,622500.0,94315.0,7111.0,32.0,0.12369598652664397,0.10617436050085027,0.1044295860630097,0.2721318049660796
1906,2020-06,13,118,131,612000.0,93900.0,10725.0,0.0,0.18955017105374763,0.1357503288626572,0.1181741629724482,
