First Loan Local Disbursement Month,Months Since First Loan Disbursed,Count First Loans,Count Borrowers,Count Loans,Total Amount,Total Interest Assessed,Total Rollover Charged,Total Rollover Reversed,Default Rate Amount 7D,Default Rate Amount 30D,Default Rate Amount 51D,Default Rate Amount 365D
2014-07,79,0,4,4,69000,9180,1186,0,0.189562548,,,
2014-07,73,0,3,3,15000,1600,456,0,0.343373494,0.360928705,0.360928705,0.155722326
2014-07,63,0,9,9,186000,23720,2732,0,0.162883845,,,
2014-07,6,0,27,32,125000,6250,0,0,0.096,0.096,0.096,0.003047619
2014-07,11,0,20,30,116000,5800,576,0,0.242528736,0.173563218,0.173563218,0.06273399
2014-07,68,0,2,2,23000,2380,1598,0,0.787234043,0.799836904,0.762769664,0.429164504
2014-07,75,0,4,5,61000,7760,730,0,0.139906923,0.00719528,0.00719528,0.00719528
2014-07,17,0,22,32,174000,20060,3380,0,0.219061115,0.094540113,0.049817666,0.049817666
2014-07,78,0,5,5,85000,11130,644,0,0.083740768,0.08983818,0.08983818,0.08983818
2014-07,34,0,16,19,189000,25470,1196,0,0.070592624,0.069987852,0.069987852,0.018278264
2014-07,30,0,16,23,178000,22580,1930,0,0.120799681,0.000493803,0.000493803,0.000493803
2014-07,14,0,22,31,127000,7310,612,0,0.211823394,0.115776934,0.115776934,0.060680515
2014-07,65,0,8,8,134000,19510,4450,0,0.362386815,0.201354773,0.15458977,0.141928336
2014-07,32,0,14,15,150000,19820,1885,0,0.138735131,0.14819021,0.065379575,
2014-07,91,0,3,3,55000,10300,0,0,,,,
2014-07,29,0,19,22,189000,25010,4825,0,0.281809261,0.075499806,0.059277538,
2014-07,45,0,13,15,180000,24660,1104,0,0.067448451,1.94E-05,1.94E-05,1.94E-05
2014-07,85,0,5,6,97000,11910,1824,0,0.209347167,,,
2014-07,42,0,13,14,141000,20190,1656,0,0.128419877,,,
2014-07,88,0,4,4,76000,8690,1915,0,0.282678002,,,
2014-07,81,0,4,4,79000,9890,0,0,,,,
2014-07,39,0,17,21,221000,29990,2313,0,0.115183872,0.071842813,0.071842813,0.047326719
2014-07,21,0,19,24,156500,18615,2230,0,0.158924136,0.0682004,0.0682004,0.0682004
2014-07,60,0,9,11,166000,19300,2840,0,0.191689153,0.165658552,0.117821835,0.117821835
2014-07,20,0,19,23,157000,19690,2530,0,0.17951214,0.120706394,0.075650039,0.072023212
2014-07,16,0,20,23,109000,12830,870,0,0.089468932,0.078321108,0.078158109,0.078158109
2014-07,36,0,10,11,141000,17990,3248,0,0.255361972,0.122486717,0.122486717,0.122486717
2014-07,26,0,20,23,185500,24305,3266,0,0.196491981,0.108958986,0.06906618,0.053015192
2014-07,92,0,1,1,21000,5460,0,0,,,,
2014-07,23,0,19,22,156000,19200,1630,0,0.115810502,0.078436917,0.077305887,0.034892269
2014-07,82,0,4,5,90000,11070,0,0,,,,
2014-07,56,0,11,12,203000,23650,1085,0,0.059827929,0.009190507,4.39E-06,4.39E-06
2014-07,1,0,64,79,307000,15350,5080,0,0.282301846,0.237785016,0.236854351,0.211881495
2014-07,59,0,10,12,203000,22880,3753,0,0.207689924,0.091959779,1.31E-05,1.31E-05
2014-07,74,0,4,5,56000,7070,0,0,,,,
2014-07,41,0,14,14,161000,22310,2741,0,0.186896514,0.160214135,0.125986961,
2014-07,22,0,20,27,182500,22655,2610,0,0.159562282,0.059827209,0.059827209,0.059827209
2014-07,58,0,10,11,187000,20650,2238,0,0.134697809,0.082844184,0.082844184,0.082844184
2014-07,54,0,13,13,199000,23770,2132,0,0.120034116,0.000444638,0.000444638,0.000444638
2014-07,69,0,1,1,5000,350,0,0,,,,
