First Loan Local Disbursement Month,Months Since First Loan Disbursed,Count First Loans,Count Borrowers,Count Loans,Total Amount,Total Interest Assessed,Total Rollover Charged,Total Rollover Reversed,Default Rate Amount 7D,Default Rate Amount 30D,Default Rate Amount 51D,Ftbs,Borrower Retention,Loans Per Borrower,Loan Size,Interest Rate,Total Revenue Of Originations,Loans Per Original,Originations Per Original,Revenue Per Original
2020-11,6,0,1937,2252,30247000,4110650,272108,0,0.09893278837,0.08294144013,0.07671945036,10314,0.1878029862,1.162622612,13431.17229,0.1359027342,0.1448989321,0.2183439984,2932.615862,424.9329067
2020-11,7,0,1679,1884,28182000,3824430,290404,276,0.1132583726,0.0835211278,0.07868678397,10314,0.1627884429,1.122096486,14958.59873,0.1357047051,0.1459995032,0.1826643397,2732.40256,398.9294163
2020-11,15,0,482,499,9581000,1404300,0,0,,,,10314,0.04673259647,1.03526971,19200.4008,0.1465713391,0.1465713391,0.04838084157,928.9315494,136.1547411
2020-11,2,0,3517,4246,30043000,4099820,384368,4052,0.1422087435,0.1105816179,0.1039217319,10314,0.3409928253,1.207278931,7075.600565,0.1364650667,0.1491241221,0.4116734536,2912.836921,434.3742486
2020-11,4,0,2479,2926,29652000,4050600,329858,0,0.1230448689,0.0968466045,0.09242165229,10314,0.2403529184,1.180314643,10133.97129,0.1366046135,0.1477289222,0.283692069,2874.927283,424.7099089
2020-11,9,0,1434,1627,27779000,3808280,250242,0,0.09751731199,0.07273819866,0.06920290467,10314,0.1390343223,1.134588563,17073.75538,0.1370920479,0.1461003636,0.157746752,2693.329455,393.4964126
2020-11,10,0,1331,1485,26937000,3661360,264829,0,0.1087483722,0.07725853141,0.07206748337,10314,0.1290478961,1.115702479,18139.39394,0.1359230798,0.1457545012,0.1439790576,2611.692845,380.665988
2020-11,1,0,4447,5617,33056000,4496690,461284,18698,0.1544947568,0.1226896457,0.1148790394,10314,0.431161528,1.263098718,5884.991989,0.1360324903,0.1494214666,0.5445995734,3204.964126,478.8904402
2020-12,0,8765,8765,14850,51182000,6953280,771612,44674,0.1661700832,0.1329996679,0.1261467173,10314,0.8498157844,1.694238448,3446.599327,0.1358540112,0.1500570122,1.439790576,4962.381229,744.6401008
2020-12,3,0,2995,3571,30874000,4302410,405343,0,0.146035646,0.1239068238,0.1157737226,10314,0.290382005,1.192320534,8645.757491,0.1393538252,0.1524827687,0.3462284274,2993.40702,456.4429901
2020-12,6,0,1845,2088,28972000,4024620,314213,0,0.1198011215,0.0980852085,0.09306636072,10314,0.1788830716,1.131707317,13875.47893,0.138914124,0.1497595264,0.202443281,2808.997479,420.6741322
2020-12,4,0,2462,2846,30105000,4187560,332493,0,0.1243467524,0.1001909802,0.09477880077,10314,0.2387046733,1.155970755,10578.00422,0.1390984886,0.1501429331,0.2759356215,2918.848168,438.2444251
2020-12,13,0,971,1080,20834000,3064170,34149,0,0.09391018874,,,10314,0.0941438821,1.112255407,19290.74074,0.1470754536,0.1487145531,0.1047120419,2019.972852,300.3993601
2020-12,5,0,2162,2509,30888000,4259770,297735,0,0.1074269582,0.09021606548,0.08617673807,10314,0.209617995,1.160499537,12310.88083,0.1379101917,0.1475493719,0.2432615862,2994.764398,441.875606
2020-12,11,0,1214,1361,25728000,3730710,235982,0,0.1022591383,0.07199738543,0.06919648775,10314,0.1177040915,1.121087315,18903.74724,0.1450058302,0.1541780162,0.1319565639,2494.473531,384.5929804
